Orientation,Slice1,Slice2,Slice3,Slice4,Slice5,Slice6,Slice7,Slice8,Slice9,Slice10,Slice11,Slice12,Slice13,Slice14,Slice15,Slice16,Slice17,Slice18,Slice19,Slice20,Slice21,Slice22,Slice23,Slice24,Slice25,Slice26,Slice27,Slice28,Slice29,Slice30,Slice31,Slice32,Slice33,Slice34,Slice35,Slice36,Slice37,Slice38,Slice39,Slice40,Slice41,Slice42,Slice43,Slice44,Slice45,Slice46,Slice47,Slice48,Slice49,Slice50,Slice51,Slice52,Slice53,Slice54,Slice55,Slice56,Slice57,Slice58,Slice59,Slice60,Slice61,Slice62,Slice63,Slice64,Slice65,Slice66,Slice67,Slice68,Slice69,Slice70,Slice71,Slice72,Slice73,Slice74,Slice75,Slice76,Slice77,Slice78,Slice79,Slice80,Slice81,Slice82,Slice83,Slice84,Slice85,Slice86,Slice87,Slice88,Slice89,Slice90,Slice91,Slice92,Slice93,Slice94,Slice95,Slice96,Slice97,Slice98,Slice99,Slice100,Slice101,Slice102,Slice103,Slice104,Slice105,Slice106,Slice107,Slice108,Slice109,Slice110,Slice111,Slice112,Slice113,Slice114,Slice115,Slice116,Slice117,Slice118,Slice119,Slice120,Slice121,Slice122,Slice123,Slice124,Slice125,Slice126,Slice127,Slice128,Slice129,Slice130,Slice131,Slice132
-78.500,7,0,2,60,117,0,0,31,10,41,21,0,25,6,48,4,1,39,71,25,0,15,2,6,25,8,50,27,14,9,4,4,0,14,1,3,0,10,17,23,0,0,10,14,4,11,5,3,24,18,28,8,0,2,0,0,16,0,50,2,4,18,2,9,14,43,35,0,3,8,31,60,5,19,32,17,3,14,0,54,3,10,5,0,53,28,19,17,27,6,4,20,2,6,24,4,10,0,0,7,5,2,0,7,0,0,0,0,0,3,2,12,0,0,22,2,0,0,6,0,19,0,0,0,0,0,17,13,0,4,2,1
-77.500,7,0,1,57,158,0,50,33,11,41,30,0,29,4,54,3,2,39,67,35,2,17,0,8,27,12,42,21,16,6,7,12,0,11,1,14,1,10,11,33,0,0,12,11,8,14,5,3,21,10,68,6,0,5,0,0,20,0,27,6,5,18,2,8,15,41,47,0,4,11,38,59,6,21,36,18,4,22,0,78,5,9,9,0,43,34,15,12,36,7,3,10,3,12,15,0,9,0,0,6,7,3,0,20,0,0,0,0,0,3,5,6,0,0,22,1,0,0,2,0,13,0,0,0,0,0,8,12,0,2,2,2
-76.500,7,0,1,70,61,0,49,20,10,41,30,0,31,6,106,2,2,35,63,36,17,15,3,5,26,15,43,24,13,12,4,9,0,14,5,7,0,17,14,12,0,0,7,16,14,13,10,6,15,10,37,9,0,3,0,0,16,0,27,7,5,22,2,2,30,33,51,0,3,7,30,41,2,15,54,19,16,37,4,90,6,16,10,0,32,34,14,13,25,6,5,10,3,7,13,2,6,0,0,7,24,4,0,8,0,0,0,0,0,5,3,6,0,0,29,4,0,0,2,0,11,0,0,0,0,0,13,16,0,5,1,1
-75.500,8,0,0,110,40,0,43,25,16,46,14,0,38,11,146,6,1,45,71,39,13,18,4,10,32,13,37,25,20,8,9,7,0,12,9,7,2,17,12,7,0,0,10,10,4,14,7,4,14,6,13,8,5,4,0,0,22,0,25,6,4,27,4,7,11,32,51,0,2,4,28,46,3,17,59,19,4,17,2,49,5,21,6,0,34,31,26,11,31,2,6,13,4,15,12,4,12,0,0,7,23,2,0,19,0,0,0,0,0,4,2,5,0,0,19,1,0,0,3,0,12,0,0,3,17,0,12,30,0,2,5,0
-74.500,7,0,0,108,35,0,36,19,12,53,23,0,100,4,116,5,0,48,61,10,12,24,1,9,41,19,62,27,26,11,6,10,0,14,4,6,0,25,11,0,0,0,9,18,5,12,10,4,20,2,4,5,7,6,0,0,20,0,10,6,5,4,2,6,8,15,35,0,5,6,52,36,3,12,54,16,5,4,2,50,7,54,14,0,32,38,28,10,26,8,4,9,3,9,10,1,8,0,0,5,15,5,0,10,0,0,0,0,0,6,3,5,0,0,20,4,0,0,2,0,16,0,0,5,18,0,13,24,0,4,6,3
-73.500,11,0,0,85,42,0,27,20,26,49,34,0,80,3,111,3,4,49,57,8,13,38,3,11,50,59,32,27,24,11,10,13,0,13,5,9,1,31,10,0,0,0,9,21,1,20,8,6,21,3,28,8,13,8,0,0,25,0,6,9,2,0,2,8,11,10,40,0,3,5,58,34,2,17,25,24,6,3,2,47,9,49,6,0,33,29,25,19,28,5,4,12,5,7,12,1,14,8,0,7,14,8,0,14,0,0,0,0,1,5,4,6,0,2,14,5,0,0,0,0,16,2,0,0,14,0,14,14,0,3,1,1
-72.500,7,0,0,59,44,0,20,15,41,45,35,0,63,5,90,8,1,60,57,3,7,48,4,11,64,44,46,32,48,10,10,7,0,18,6,11,1,52,8,0,0,0,9,0,4,13,15,6,27,3,31,8,20,13,0,0,19,0,6,9,4,0,5,7,7,20,17,0,4,6,56,33,3,13,28,18,7,1,3,49,26,38,13,0,25,25,18,13,26,7,8,8,0,14,15,2,11,18,0,5,13,7,0,20,0,0,0,0,2,6,4,4,0,4,16,5,0,4,3,0,10,2,0,6,13,0,13,22,0,4,17,4
-71.500,13,0,0,49,38,0,20,14,25,44,27,0,64,8,63,6,1,69,36,7,11,46,4,12,109,46,47,28,33,9,14,10,0,16,14,8,0,37,9,0,0,0,8,2,3,11,14,7,26,4,31,5,34,10,0,0,24,0,2,8,4,0,3,9,7,9,14,0,7,9,38,33,1,13,19,17,6,0,1,45,18,33,12,0,28,19,13,7,23,8,6,15,4,8,13,3,14,20,0,8,12,8,0,17,0,15,0,0,3,5,3,4,0,5,18,9,0,2,1,0,0,3,0,0,14,0,8,17,0,3,17,1
-70.500,12,7,0,40,50,0,19,15,29,35,35,0,72,7,47,6,3,54,40,3,9,53,6,16,98,33,44,34,29,12,24,10,0,15,10,11,1,36,10,0,1,0,12,2,5,18,19,10,27,3,32,6,38,9,0,0,25,0,6,11,3,0,2,6,10,15,14,0,6,6,24,30,1,14,23,27,10,0,1,68,26,32,14,0,27,23,19,9,21,5,7,7,3,11,15,2,17,20,0,5,15,4,0,18,0,34,0,0,4,6,6,4,0,3,13,9,0,3,1,0,0,2,0,7,17,0,0,10,0,4,17,4
-69.500,11,18,0,45,45,0,20,11,23,40,32,2,92,5,41,10,3,41,26,4,13,77,6,22,83,30,62,30,35,15,24,12,0,26,8,9,2,30,8,0,4,0,11,4,1,15,20,8,13,2,23,5,68,14,0,0,22,0,6,27,2,0,7,12,10,9,30,0,12,13,29,31,2,2,27,21,5,0,5,65,73,33,15,0,25,15,23,26,25,8,8,15,5,8,18,2,13,18,0,7,14,7,0,36,0,39,0,0,5,3,4,4,0,4,17,12,0,3,2,0,0,3,0,0,12,0,0,24,0,3,19,3
