Orientation,Slice1,Slice2,Slice3,Slice4,Slice5,Slice6,Slice7,Slice8,Slice9,Slice10,Slice11,Slice12,Slice13,Slice14,Slice15,Slice16,Slice17,Slice18,Slice19,Slice20,Slice21,Slice22,Slice23,Slice24,Slice25,Slice26,Slice27,Slice28,Slice29,Slice30,Slice31,Slice32,Slice33,Slice34,Slice35,Slice36,Slice37,Slice38,Slice39,Slice40,Slice41,Slice42,Slice43,Slice44,Slice45,Slice46,Slice47,Slice48,Slice49,Slice50,Slice51,Slice52,Slice53,Slice54,Slice55,Slice56,Slice57,Slice58,Slice59,Slice60,Slice61,Slice62,Slice63,Slice64,Slice65,Slice66,Slice67,Slice68,Slice69,Slice70,Slice71,Slice72,Slice73,Slice74,Slice75,Slice76,Slice77,Slice78,Slice79,Slice80,Slice81,Slice82,Slice83,Slice84,Slice85,Slice86,Slice87,Slice88,Slice89,Slice90,Slice91,Slice92,Slice93,Slice94,Slice95,Slice96,Slice97,Slice98,Slice99,Slice100,Slice101,Slice102,Slice103,Slice104,Slice105,Slice106,Slice107,Slice108,Slice109,Slice110,Slice111,Slice112,Slice113,Slice114,Slice115,Slice116,Slice117,Slice118,Slice119,Slice120,Slice121,Slice122,Slice123,Slice124,Slice125,Slice126,Slice127,Slice128,Slice129,Slice130,Slice131,Slice132,Slice133,Slice134,Slice135,Slice136,Slice137,Slice138,Slice139,Slice140,Slice141,Slice142,Slice143,Slice144,Slice145,Slice146,Slice147,Slice148,Slice149,Slice150,Slice151,Slice152,Slice153,Slice154,Slice155,Slice156,Slice157,Slice158,Slice159,Slice160,Slice161,Slice162,Slice163,Slice164,Slice165,Slice166,Slice167
-48.500,23,9,21,26,19,0,124,22,60,72,40,51,19,1,34,6,165,0,26,0,33,3,13,19,18,12,46,31,0,3,0,28,20,24,77,27,34,12,1,0,7,0,18,108,5,11,3,0,52,5,85,14,15,0,49,31,0,57,10,18,1,49,13,21,26,65,29,13,16,14,32,10,15,12,0,7,46,3,12,69,39,10,43,4,5,170,27,0,34,60,2,39,0,0,41,34,31,7,0,38,5,26,47,11,27,25,26,28,0,12,5,7,0,10,36,79,42,29,0,44,12,36,5,0,43,94,9,95,4,14,45,16,0,4,19,66,11,16,3,54,0,0,53,0,23,15,13,8,0,0,35,26,23,51,17,29,11,28,19,24,6,27,9,8,4,34,47
-47.500,29,7,46,30,17,0,50,23,54,120,7,37,19,4,23,12,163,12,41,0,32,5,14,18,8,11,45,39,0,0,0,28,19,25,60,19,35,20,6,0,10,58,25,152,4,11,2,0,55,7,93,9,11,0,45,22,0,49,5,20,4,45,9,23,0,92,36,22,8,13,24,13,4,6,0,11,18,4,10,63,34,5,45,11,11,95,42,0,42,75,2,51,0,0,40,33,0,12,0,44,5,29,54,13,33,27,27,29,0,14,6,10,0,7,48,47,56,35,0,35,12,41,11,0,24,70,9,92,2,8,24,18,0,5,28,59,13,22,3,49,0,0,59,0,25,21,2,9,0,0,39,20,19,107,24,34,16,28,21,17,5,16,10,5,3,36,65
-46.500,34,5,53,35,18,2,30,19,41,131,6,19,18,5,16,15,87,18,38,0,25,8,15,21,16,14,46,48,0,5,0,30,18,24,46,19,42,18,38,0,6,36,17,143,6,16,4,0,73,8,170,11,11,0,57,21,0,24,14,17,2,50,9,13,0,115,32,16,16,6,24,19,13,11,0,15,2,2,8,50,43,13,44,4,6,54,41,0,30,133,3,62,0,0,36,35,0,8,0,46,5,25,47,8,46,31,29,13,0,6,8,9,0,7,69,32,55,38,0,26,20,44,5,0,25,41,12,77,2,11,13,12,0,7,51,73,15,27,3,49,0,0,91,0,26,33,14,8,8,0,45,25,19,31,27,39,10,40,22,27,2,9,11,11,2,29,30
-45.500,54,0,25,32,15,19,25,14,43,75,9,18,19,2,14,59,68,35,8,0,22,8,15,13,12,15,50,61,0,21,0,40,22,25,27,14,23,17,69,0,9,23,28,167,3,15,4,7,53,8,140,14,11,0,60,11,0,21,3,21,3,52,8,17,0,26,47,19,12,4,22,21,10,16,0,33,4,6,9,36,32,9,42,9,8,37,82,0,35,76,5,86,0,0,32,46,0,11,0,32,5,26,60,14,85,29,32,10,0,13,7,10,0,6,57,32,54,45,0,23,32,24,9,0,21,39,6,42,2,13,10,9,0,8,47,83,21,30,5,53,0,0,50,0,26,31,8,11,14,0,48,18,30,12,34,55,15,60,14,36,5,9,11,28,0,25,33
-44.500,62,0,16,37,16,41,13,13,37,20,8,14,21,5,14,55,81,64,0,0,17,8,13,16,11,13,63,51,0,27,0,43,20,23,9,16,28,18,43,0,9,21,43,217,5,24,5,10,45,5,123,16,10,0,60,14,3,26,8,22,2,7,6,20,0,17,42,16,16,1,28,27,9,14,0,86,6,4,14,33,42,14,33,4,9,42,66,0,33,78,11,53,0,0,32,68,3,7,0,45,8,24,79,11,74,30,33,11,0,11,12,9,0,5,46,28,56,69,0,19,60,12,7,0,20,47,9,28,4,14,4,11,2,9,44,105,26,36,7,62,0,0,38,0,28,52,9,9,14,18,57,24,25,7,44,70,10,38,19,49,2,5,18,24,0,29,25
-43.500,80,0,18,15,18,37,12,13,75,18,16,8,21,3,11,38,58,101,0,0,17,16,11,21,10,15,49,42,0,34,0,67,22,23,11,16,13,18,34,0,11,16,74,196,4,32,8,5,46,7,105,21,7,0,57,11,3,22,10,18,4,3,6,14,0,10,34,4,12,0,30,21,9,15,0,108,0,4,12,27,42,10,33,8,10,26,61,0,29,83,11,50,0,0,25,64,5,11,3,28,8,22,98,16,27,27,30,9,0,7,12,8,0,3,34,30,55,85,0,20,38,13,5,0,30,35,8,27,2,13,8,13,2,10,49,104,21,46,0,71,2,0,31,0,30,41,16,9,14,9,46,23,24,9,45,118,15,26,11,47,4,7,12,20,0,22,29
-42.500,47,0,12,18,17,43,11,11,74,24,1,9,24,3,10,28,70,61,0,0,5,16,13,13,7,15,42,29,0,39,0,61,21,25,12,16,18,16,30,0,8,16,60,96,4,20,9,4,38,7,85,16,10,0,46,6,2,31,12,17,1,0,3,13,0,7,40,4,15,0,26,22,10,21,0,126,5,6,13,22,65,9,30,4,8,15,58,0,35,61,21,42,0,0,26,41,11,8,3,35,9,22,66,13,15,31,32,9,0,9,12,10,0,5,25,33,58,76,0,13,32,16,8,0,26,29,1,18,2,60,3,8,3,16,73,90,27,49,0,120,0,0,25,0,35,44,15,5,16,9,34,26,32,15,46,100,12,21,19,48,0,5,18,17,0,26,25
-41.500,37,0,6,20,26,51,13,12,59,20,0,9,21,4,9,32,73,51,0,0,4,14,6,16,7,13,36,26,0,46,0,53,17,29,10,16,18,23,24,0,10,15,46,109,3,16,16,2,50,13,76,20,10,5,50,10,4,35,6,16,3,0,6,16,0,5,37,5,14,0,57,12,11,18,0,88,3,9,14,16,47,11,9,8,15,27,82,0,41,80,20,43,0,0,28,45,9,9,3,39,13,23,39,24,12,20,26,9,0,10,7,7,0,2,29,32,50,83,0,12,35,13,6,0,31,30,7,19,4,54,22,11,3,18,72,81,30,29,0,159,8,0,22,0,32,36,29,4,11,9,25,61,27,66,52,100,17,20,11,39,3,4,22,13,0,21,27
-40.500,35,0,12,28,17,49,10,13,73,26,0,7,27,2,8,25,65,42,0,0,3,9,9,13,9,17,38,20,0,43,0,47,28,34,10,10,13,68,18,0,10,13,46,91,5,9,17,3,61,9,77,15,11,31,54,7,4,26,16,17,1,0,7,15,0,5,35,4,15,2,38,11,23,23,0,73,4,10,21,13,35,15,7,4,9,30,77,0,22,65,28,65,0,0,20,27,20,6,4,27,11,25,26,22,7,10,27,5,0,5,8,6,0,1,22,36,57,80,0,8,44,7,8,0,31,26,1,17,1,60,21,13,14,12,61,68,34,23,0,135,9,0,17,0,36,41,17,5,12,0,22,49,27,92,58,61,16,31,15,29,2,10,18,17,0,22,23
-39.500,23,0,4,23,25,55,5,12,61,21,0,4,28,4,6,26,59,45,0,0,5,10,9,10,8,14,46,19,0,47,0,44,28,45,9,7,18,71,13,0,11,18,49,83,2,12,15,1,61,15,71,17,13,24,66,0,8,33,7,16,3,0,8,10,0,3,43,8,14,0,21,10,9,24,0,60,2,10,28,8,31,17,8,7,8,34,54,0,15,71,33,33,0,0,25,33,35,11,5,38,17,17,11,54,10,7,33,9,0,11,10,8,0,2,19,38,48,77,0,10,45,12,3,0,42,24,6,17,3,64,21,10,80,24,46,72,34,25,2,107,22,0,21,0,33,45,22,63,7,8,22,40,30,63,56,70,17,39,12,25,0,9,20,12,0,19,20
