Orientation,Slice1,Slice2,Slice3,Slice4,Slice5,Slice6,Slice7,Slice8,Slice9,Slice10,Slice11,Slice12,Slice13,Slice14,Slice15,Slice16,Slice17,Slice18,Slice19,Slice20,Slice21,Slice22,Slice23,Slice24,Slice25,Slice26,Slice27,Slice28,Slice29,Slice30,Slice31,Slice32,Slice33,Slice34,Slice35,Slice36,Slice37,Slice38,Slice39,Slice40,Slice41,Slice42,Slice43,Slice44,Slice45,Slice46,Slice47,Slice48,Slice49,Slice50,Slice51,Slice52,Slice53,Slice54,Slice55,Slice56,Slice57,Slice58,Slice59,Slice60,Slice61,Slice62,Slice63,Slice64,Slice65,Slice66,Slice67,Slice68,Slice69,Slice70,Slice71,Slice72,Slice73,Slice74,Slice75,Slice76,Slice77,Slice78,Slice79,Slice80,Slice81,Slice82,Slice83,Slice84,Slice85,Slice86,Slice87,Slice88,Slice89,Slice90,Slice91,Slice92,Slice93,Slice94,Slice95,Slice96,Slice97,Slice98,Slice99,Slice100,Slice101,Slice102,Slice103,Slice104,Slice105,Slice106,Slice107,Slice108,Slice109,Slice110,Slice111,Slice112,Slice113,Slice114,Slice115,Slice116,Slice117,Slice118,Slice119,Slice120,Slice121,Slice122,Slice123
-25.500,40,1,31,9,30,26,0,48,28,0,9,88,50,6,4,0,24,7,8,12,1,11,5,35,29,13,6,4,2,0,21,41,0,0,13,23,12,66,1,2,6,3,8,0,9,15,21,0,0,19,6,36,2,10,32,0,67,0,12,0,0,39,3,15,16,5,6,14,29,15,19,62,7,8,7,0,6,0,23,4,6,15,10,34,7,47,6,27,14,6,12,42,12,46,22,12,4,10,39,10,14,42,33,121,2,0,10,12,49,2,18,6,0,17,2,0,21,11,16,30,0,5,1
-24.500,39,1,2,15,34,22,0,33,18,0,15,75,44,7,0,0,28,5,3,23,1,14,7,34,24,17,10,2,8,0,19,45,0,0,14,17,19,48,3,4,6,4,4,5,10,10,11,0,0,14,7,43,1,10,25,0,87,2,9,0,0,25,1,1,16,3,2,8,23,15,13,53,6,10,0,0,12,0,27,3,1,17,10,33,13,63,3,25,6,2,6,43,22,36,27,62,2,7,38,12,14,55,22,87,7,0,1,6,68,8,17,5,0,17,15,0,16,3,12,24,2,4,24
-23.500,49,4,0,9,31,26,0,25,17,0,9,62,42,9,0,0,16,5,8,21,3,13,7,26,15,11,6,2,0,0,19,47,0,0,16,12,20,49,1,0,5,5,7,5,28,13,17,0,0,12,5,28,2,10,17,0,62,2,11,0,0,24,11,13,15,6,4,13,10,17,12,52,8,7,1,0,9,0,26,2,4,20,10,33,9,49,3,21,5,2,12,38,12,36,25,49,8,11,33,1,19,45,35,74,4,0,0,7,48,3,21,8,0,16,1,0,17,11,14,25,0,7,35
-22.500,18,1,0,13,31,20,0,27,26,0,14,59,29,0,0,0,14,1,5,31,4,14,7,24,16,10,5,2,2,0,17,52,0,0,15,14,11,52,2,2,7,3,2,5,26,12,17,0,0,11,5,27,3,13,31,0,54,4,8,0,0,24,9,17,12,4,9,8,8,20,11,37,5,6,8,0,8,0,19,0,8,24,9,28,16,22,1,26,2,4,9,37,8,9,30,21,4,10,2,0,8,50,19,43,4,0,7,4,44,5,23,0,0,9,4,0,19,7,2,21,0,4,13
-21.500,17,2,3,12,33,17,0,31,10,0,15,61,38,1,0,0,13,0,6,27,1,11,10,16,16,11,9,3,10,0,18,46,0,0,12,12,6,53,2,1,2,5,3,4,16,14,22,0,0,9,5,26,2,11,18,0,52,4,10,0,0,10,9,17,17,5,4,6,15,22,10,28,7,7,4,0,6,0,16,0,3,23,10,36,16,28,8,19,4,2,8,28,15,16,44,22,7,9,7,0,15,36,21,54,4,0,5,3,48,6,29,6,0,16,12,0,27,3,11,11,0,4,16
-20.500,21,3,0,7,37,14,81,20,19,0,10,45,24,1,0,0,13,0,6,29,1,9,4,20,13,12,4,3,3,0,18,41,0,0,13,13,7,84,1,2,2,4,3,4,15,11,20,0,0,8,4,23,1,22,8,0,39,12,11,0,0,3,10,53,12,4,3,7,9,19,10,25,11,7,0,0,9,0,12,0,1,33,6,27,16,35,3,22,4,4,5,31,11,5,54,17,4,13,4,0,12,22,16,33,2,19,0,4,33,7,26,4,0,11,5,0,40,7,8,9,0,8,11
-19.500,22,0,0,17,42,13,72,48,12,0,10,30,29,0,0,0,14,0,4,34,3,11,6,19,17,17,6,2,2,0,15,56,0,0,10,12,11,78,1,4,4,5,3,2,10,0,37,0,0,3,4,25,3,13,15,0,28,19,12,0,0,15,10,90,11,6,8,5,12,7,7,18,13,3,7,0,9,0,21,0,5,42,11,23,15,29,3,26,3,3,10,31,8,5,42,10,6,6,4,0,5,15,15,36,7,49,0,1,46,13,26,0,0,10,6,0,48,3,5,7,0,2,17
-18.500,34,1,1,15,67,13,58,42,19,0,12,29,25,1,0,0,8,0,8,27,5,8,6,16,14,11,5,1,12,0,21,41,0,0,9,18,16,60,3,0,1,4,2,4,7,0,31,0,0,11,3,40,2,23,12,0,19,24,12,0,0,6,8,67,19,2,5,3,14,5,0,13,17,3,0,0,7,0,51,0,6,39,6,7,8,15,0,25,2,2,6,31,9,10,44,4,3,0,2,0,18,17,15,48,3,24,0,1,41,26,19,8,0,14,10,0,33,7,5,6,0,7,18
-17.500,27,7,0,16,39,1,54,18,11,0,13,40,16,3,0,0,10,0,7,14,2,8,8,31,15,7,6,3,4,0,15,48,0,0,10,19,25,33,0,3,2,14,3,3,13,0,28,0,0,4,1,63,2,15,14,0,18,20,12,0,0,6,9,8,47,8,5,4,9,3,0,17,15,3,0,0,6,0,32,0,4,41,9,5,6,24,4,21,3,5,5,22,9,4,41,15,8,0,6,0,5,13,14,73,1,18,0,3,42,28,21,2,0,7,7,0,35,2,6,5,0,8,22
-16.500,25,3,0,28,16,2,40,10,12,0,3,37,26,1,0,0,15,0,5,14,1,8,10,30,17,12,2,3,5,0,23,42,0,0,13,4,41,15,0,3,1,8,1,4,5,0,17,0,0,7,3,49,3,8,11,0,8,16,12,0,0,5,8,7,25,7,11,5,5,2,0,10,22,1,0,0,8,0,33,0,3,37,5,5,7,16,3,28,3,2,10,30,9,4,35,3,4,0,2,0,10,13,12,65,6,18,0,1,49,22,8,0,0,10,11,0,34,4,4,4,0,8,55
-15.500,22,4,0,30,10,4,27,10,15,0,2,35,17,0,0,0,7,0,7,9,13,16,13,20,22,12,6,2,7,0,29,29,0,0,9,5,39,16,1,11,1,6,3,2,5,0,15,0,0,8,0,29,2,21,13,0,14,19,11,0,0,3,11,5,20,14,5,3,5,2,0,12,25,2,6,0,8,0,28,0,4,43,10,6,18,14,6,24,2,3,5,19,7,4,34,7,9,0,5,0,15,10,12,12,4,18,0,4,36,13,20,0,0,6,25,0,25,5,5,1,0,1,51
