Orientation,Slice1,Slice2,Slice3,Slice4,Slice5,Slice6,Slice7,Slice8,Slice9,Slice10,Slice11,Slice12,Slice13,Slice14,Slice15,Slice16,Slice17,Slice18,Slice19,Slice20,Slice21,Slice22,Slice23,Slice24,Slice25,Slice26,Slice27,Slice28,Slice29,Slice30,Slice31,Slice32,Slice33,Slice34,Slice35,Slice36,Slice37,Slice38,Slice39,Slice40,Slice41,Slice42,Slice43,Slice44,Slice45,Slice46,Slice47,Slice48,Slice49,Slice50,Slice51,Slice52,Slice53,Slice54,Slice55,Slice56,Slice57,Slice58,Slice59,Slice60,Slice61,Slice62,Slice63,Slice64,Slice65,Slice66,Slice67,Slice68,Slice69,Slice70,Slice71,Slice72,Slice73,Slice74,Slice75,Slice76,Slice77,Slice78,Slice79,Slice80,Slice81,Slice82,Slice83,Slice84,Slice85,Slice86,Slice87,Slice88,Slice89,Slice90,Slice91,Slice92,Slice93,Slice94,Slice95,Slice96,Slice97,Slice98,Slice99,Slice100,Slice101,Slice102,Slice103,Slice104,Slice105,Slice106,Slice107,Slice108,Slice109,Slice110,Slice111,Slice112,Slice113,Slice114,Slice115,Slice116,Slice117,Slice118,Slice119,Slice120,Slice121,Slice122,Slice123,Slice124,Slice125,Slice126,Slice127,Slice128,Slice129,Slice130,Slice131,Slice132,Slice133,Slice134,Slice135,Slice136,Slice137,Slice138,Slice139,Slice140,Slice141,Slice142,Slice143,Slice144,Slice145,Slice146,Slice147,Slice148,Slice149,Slice150,Slice151,Slice152,Slice153,Slice154,Slice155,Slice156,Slice157,Slice158,Slice159,Slice160,Slice161
-47.500,34,0,0,4,8,34,9,69,67,65,25,9,21,78,9,1,2,52,9,78,48,52,10,25,6,9,158,0,45,155,11,26,59,10,61,6,35,17,49,25,5,3,0,29,7,145,8,29,2,31,10,9,14,11,35,46,22,8,75,58,45,23,13,67,26,5,42,33,1,15,11,44,79,8,31,0,112,7,16,16,87,11,20,13,0,1,39,31,32,2,7,19,29,22,28,44,0,13,43,21,43,29,4,19,11,17,12,132,33,61,17,32,93,7,84,3,0,64,19,12,9,22,10,4,40,5,0,21,1,109,16,0,54,15,5,41,37,26,7,5,33,37,0,29,78,43,6,43,124,0,0,1,25,25,22,29,43,3,0,103,18
-46.500,37,0,0,6,11,40,12,77,74,38,53,7,62,68,15,3,6,19,19,95,52,42,11,30,19,11,132,13,91,143,9,37,73,7,72,4,36,36,79,24,3,2,0,32,6,172,10,43,4,14,9,15,6,6,32,46,26,11,39,62,28,26,24,49,26,6,36,27,2,18,7,35,99,11,34,5,90,5,13,22,86,18,25,10,0,4,42,29,66,2,7,37,18,19,42,56,0,15,50,20,55,19,4,21,11,6,10,88,26,70,19,38,96,5,101,2,16,54,33,25,16,14,14,6,46,5,0,25,2,104,15,0,38,10,4,42,24,23,27,1,37,37,0,33,111,26,6,35,158,1,0,5,18,31,43,28,76,5,2,123,19
-45.500,46,0,0,7,22,53,5,54,117,31,94,4,45,65,20,3,0,4,14,107,63,30,16,27,34,8,119,8,93,123,11,50,72,6,54,8,41,42,51,25,4,0,0,23,3,146,16,46,2,19,9,24,17,5,76,37,34,19,35,58,31,27,13,48,26,3,56,23,1,20,10,39,53,16,46,8,78,5,14,40,119,19,22,6,0,5,43,24,51,8,6,51,31,15,35,73,0,12,52,13,38,28,3,18,13,18,9,86,17,63,22,110,86,7,110,1,17,54,38,15,13,13,5,7,54,5,2,35,2,103,18,0,35,13,5,77,23,26,76,2,34,39,0,26,80,32,5,32,150,3,0,2,19,37,40,14,77,6,0,79,15
-44.500,58,0,0,11,34,72,3,42,174,20,88,0,51,69,23,2,3,0,19,102,30,28,13,34,37,7,137,8,132,110,7,31,90,7,49,8,44,28,59,28,5,0,0,23,2,106,11,59,6,25,10,39,11,10,84,30,40,28,23,73,38,26,10,36,24,7,90,24,0,20,2,38,48,7,34,23,62,1,9,34,114,12,27,8,0,6,52,26,21,11,7,87,31,17,49,91,0,11,75,15,45,24,13,20,8,12,9,77,13,98,25,44,104,11,76,1,7,52,29,17,10,13,11,6,59,8,1,54,5,100,28,0,24,9,4,145,29,23,88,4,40,36,0,20,54,24,7,19,170,1,0,1,20,49,39,11,59,2,1,54,17
-43.500,65,0,0,7,50,71,5,40,192,18,47,0,47,49,37,5,3,0,26,50,23,23,14,24,50,9,108,10,114,128,13,19,91,9,43,10,55,23,66,33,4,0,0,26,8,117,12,98,0,13,14,84,12,4,94,24,50,2,28,106,46,36,8,38,26,1,96,30,3,23,5,38,44,7,35,35,50,5,11,24,88,19,34,7,0,6,58,19,9,15,7,79,34,23,38,45,0,17,67,18,45,28,8,18,14,15,7,67,20,142,22,40,194,16,108,4,9,67,28,22,11,15,7,7,67,7,7,17,3,50,33,0,20,11,3,117,20,24,77,0,44,41,0,24,49,23,6,27,108,3,0,3,22,2,35,9,45,6,1,45,12
-42.500,63,0,0,23,71,68,0,46,126,17,56,0,60,50,72,2,4,0,21,35,38,19,18,29,67,9,89,15,108,147,11,15,81,9,41,17,69,26,91,36,2,0,0,21,6,99,22,110,7,16,8,65,17,8,121,33,54,0,28,90,79,42,8,61,27,0,89,22,1,23,4,42,44,6,28,62,55,1,1,19,87,16,36,7,0,14,53,17,4,21,4,61,43,11,40,37,0,13,64,16,37,115,6,19,11,17,5,85,17,95,33,34,76,28,98,1,8,43,24,19,17,13,9,8,56,5,27,9,4,41,27,0,19,7,6,107,22,29,70,4,55,61,0,25,42,23,4,19,91,7,0,4,22,1,40,9,33,6,1,36,13
-41.500,67,0,0,10,78,55,4,32,126,16,36,3,41,48,108,7,6,0,29,34,42,19,4,33,69,7,70,8,69,63,17,10,92,8,36,19,118,19,94,26,4,0,0,22,9,110,17,70,5,20,11,42,16,4,127,29,59,0,23,96,95,43,5,56,42,0,125,35,1,28,3,45,40,6,20,71,53,3,4,7,49,18,24,4,0,14,35,20,5,26,7,47,44,26,39,29,0,11,72,15,40,82,15,18,16,19,6,81,20,78,32,36,59,22,94,2,8,31,22,23,10,18,5,7,53,8,18,6,6,51,24,0,15,8,3,99,20,27,71,1,39,14,0,20,30,20,7,20,81,5,0,1,23,3,39,15,34,5,1,38,10
-40.500,54,0,0,13,96,64,0,41,101,14,40,3,40,45,129,4,10,0,40,31,37,11,2,29,55,8,59,5,60,56,13,11,55,4,37,10,118,22,90,0,2,0,0,21,7,106,13,56,6,10,15,25,17,6,86,26,58,0,27,67,111,4,6,41,45,0,145,32,3,28,1,41,49,5,20,91,45,1,2,10,28,22,26,6,0,20,34,15,4,23,9,36,66,11,34,30,0,12,78,16,45,74,12,15,14,17,4,98,13,56,35,32,47,25,114,5,8,28,24,18,10,14,6,10,52,6,13,8,5,34,24,0,12,7,3,98,24,38,76,0,42,8,0,23,30,19,38,15,65,7,0,3,25,4,38,8,28,6,3,29,10
-39.500,55,0,1,3,27,59,0,39,88,12,27,6,27,38,106,8,11,0,31,25,40,1,2,27,51,6,37,2,74,63,20,13,29,7,32,8,93,15,60,0,3,0,0,22,13,121,13,46,4,10,13,29,18,5,42,25,60,0,20,11,85,4,5,32,55,0,106,36,1,37,1,52,41,5,19,145,58,1,3,9,31,23,16,6,0,16,34,13,4,21,0,40,97,28,34,19,0,14,64,15,63,94,24,17,14,18,5,108,15,60,26,30,32,21,100,2,9,30,18,26,19,28,8,5,57,6,14,11,9,40,28,0,10,6,6,106,20,33,79,5,44,4,0,23,26,18,76,14,70,10,0,4,27,2,42,9,31,6,0,28,7
-38.500,64,0,43,11,20,87,0,41,72,14,36,8,35,41,97,4,12,0,18,27,34,0,1,23,54,11,33,7,71,66,24,9,27,5,34,8,84,0,32,0,3,0,0,22,14,148,7,39,7,19,15,25,17,4,57,27,43,0,15,17,67,4,4,25,63,0,104,26,2,39,2,64,48,3,19,220,66,3,0,6,22,14,20,6,0,13,28,19,7,42,14,6,70,10,26,18,0,20,82,15,90,97,24,16,20,14,4,89,13,50,35,39,35,36,64,3,13,22,24,20,13,13,10,12,41,10,12,15,10,29,24,0,11,5,2,103,28,22,99,0,28,8,0,19,24,20,68,14,52,14,0,2,32,7,43,14,26,9,3,32,10
