Orientation,Slice1,Slice2,Slice3,Slice4,Slice5,Slice6,Slice7,Slice8,Slice9,Slice10,Slice11,Slice12,Slice13,Slice14,Slice15,Slice16,Slice17,Slice18,Slice19,Slice20,Slice21,Slice22,Slice23,Slice24,Slice25,Slice26,Slice27,Slice28,Slice29,Slice30,Slice31,Slice32,Slice33,Slice34,Slice35,Slice36,Slice37,Slice38,Slice39,Slice40,Slice41,Slice42,Slice43,Slice44,Slice45,Slice46,Slice47,Slice48,Slice49,Slice50,Slice51,Slice52,Slice53,Slice54,Slice55,Slice56,Slice57,Slice58,Slice59,Slice60,Slice61,Slice62,Slice63,Slice64,Slice65,Slice66,Slice67,Slice68,Slice69,Slice70,Slice71,Slice72,Slice73,Slice74,Slice75,Slice76,Slice77,Slice78,Slice79,Slice80,Slice81,Slice82,Slice83,Slice84,Slice85,Slice86,Slice87,Slice88,Slice89,Slice90,Slice91,Slice92,Slice93,Slice94,Slice95,Slice96,Slice97,Slice98,Slice99,Slice100,Slice101,Slice102,Slice103,Slice104,Slice105,Slice106,Slice107,Slice108,Slice109,Slice110,Slice111,Slice112,Slice113,Slice114,Slice115,Slice116,Slice117,Slice118,Slice119,Slice120,Slice121,Slice122,Slice123,Slice124,Slice125,Slice126,Slice127,Slice128,Slice129,Slice130,Slice131
68.500,12,37,12,0,52,0,0,18,20,0,6,13,0,12,0,5,13,3,16,9,8,18,43,7,21,62,9,31,23,31,6,7,4,47,5,0,16,5,0,2,3,18,18,8,0,10,11,28,28,0,38,32,4,59,13,11,0,7,0,2,7,25,23,15,38,0,26,21,6,4,8,47,2,8,52,30,23,39,37,40,3,0,17,26,27,25,19,10,18,42,4,0,20,0,27,2,23,0,12,24,0,6,14,1,0,0,8,44,5,8,0,74,0,17,10,1,19,18,8,17,0,0,0,1,16,0,20,5,2,3,13
69.500,11,20,6,0,41,0,0,19,26,0,6,10,0,11,0,0,16,4,11,11,8,20,52,8,19,48,17,25,26,36,16,3,3,59,18,0,14,2,0,1,2,22,14,9,0,13,9,18,20,0,36,26,5,75,20,16,0,7,0,3,4,27,28,22,3,0,24,30,5,5,9,35,0,19,45,24,17,38,61,38,3,0,29,38,27,18,12,15,11,23,1,0,21,0,0,0,16,0,3,25,0,12,9,2,0,0,7,60,27,8,0,0,0,17,14,1,19,4,7,11,0,0,0,2,21,1,9,3,1,3,10
70.500,13,19,10,0,31,0,0,13,19,0,8,9,0,8,0,0,8,3,9,9,6,16,62,4,14,43,67,24,28,40,13,8,5,66,6,0,13,6,0,4,1,29,11,11,0,9,7,19,22,3,34,24,4,36,10,12,6,9,0,3,3,8,27,20,0,0,22,38,1,5,8,46,0,12,64,40,21,36,41,37,1,0,35,34,29,27,9,7,6,21,0,0,31,0,0,1,27,0,14,24,0,9,7,1,0,0,4,47,16,10,0,0,7,16,13,0,21,4,8,13,0,0,0,7,14,1,11,5,4,2,11
71.500,11,14,3,0,25,0,0,17,23,0,4,11,0,9,0,0,9,3,13,7,6,12,36,17,15,37,45,19,24,22,7,10,2,129,6,0,10,1,0,0,2,36,33,21,0,7,11,19,17,2,42,22,2,17,22,16,0,10,0,1,4,7,32,19,0,0,18,49,1,6,6,42,0,11,69,22,13,42,46,42,1,0,48,30,32,20,9,9,8,6,0,0,16,0,0,0,27,0,7,16,0,9,16,1,1,0,7,44,24,19,0,0,0,20,11,1,21,4,8,10,0,0,0,5,10,0,9,2,1,6,9
72.500,13,11,2,0,24,0,0,14,24,0,7,5,0,7,3,0,12,1,11,9,7,12,36,16,18,38,40,19,25,25,15,7,4,127,10,0,13,1,0,0,2,38,41,26,0,13,8,17,10,2,33,23,6,8,7,13,3,15,0,4,3,5,29,22,0,0,19,26,6,4,0,45,0,16,98,36,16,27,36,47,2,0,58,24,35,22,5,9,11,16,0,0,27,0,0,0,21,0,3,16,0,10,6,1,1,0,5,19,23,12,0,0,0,15,1,2,14,2,4,10,0,0,0,15,7,2,10,3,1,13,6
73.500,12,6,5,0,15,0,0,23,21,0,7,10,0,8,4,0,7,1,8,8,8,16,26,13,7,42,56,13,24,20,18,6,4,77,6,0,10,0,0,1,0,50,75,38,0,16,9,19,14,3,39,22,3,12,17,15,4,12,0,0,2,3,37,23,0,0,19,24,1,3,0,38,0,17,66,35,15,28,45,63,1,0,45,26,42,28,5,3,12,7,0,0,31,0,0,0,17,0,11,14,0,6,7,0,2,0,6,19,13,0,0,0,0,20,6,0,19,4,2,5,0,0,0,15,10,1,12,4,4,8,8
74.500,13,0,1,0,14,0,0,33,27,0,5,4,0,11,7,0,7,1,18,9,5,11,38,15,1,44,62,7,37,17,14,6,2,45,6,0,6,3,0,2,0,54,77,50,0,13,6,22,19,4,35,16,3,8,13,13,1,14,0,2,4,3,34,19,0,0,16,18,1,6,0,44,0,8,24,48,15,28,46,70,9,0,33,33,84,22,4,8,6,11,0,0,28,0,0,0,14,6,6,15,0,10,15,0,2,0,5,18,11,0,5,0,0,19,6,0,18,3,0,10,1,0,0,44,8,1,8,2,1,7,8
75.500,15,0,2,0,12,0,0,3,22,0,10,8,0,6,16,0,5,3,16,8,8,10,23,10,4,44,34,11,39,21,20,1,2,41,4,0,14,2,0,0,0,66,45,61,0,21,7,19,16,2,36,21,4,9,11,17,6,8,0,2,3,1,30,27,0,0,16,17,3,3,0,28,0,20,17,39,12,22,47,46,5,0,29,55,77,21,4,4,6,9,0,0,31,0,0,0,14,4,7,9,0,9,4,0,2,0,3,23,13,0,7,0,7,38,2,1,15,2,0,4,1,0,0,78,7,2,12,1,2,7,5
76.500,13,0,1,0,7,0,0,0,21,0,5,3,0,15,0,0,6,1,12,11,7,16,36,8,2,55,25,8,30,16,25,2,3,30,9,0,7,8,0,3,0,76,38,62,3,37,9,24,14,3,32,18,3,7,11,18,0,9,0,2,3,1,34,43,0,0,11,10,2,3,0,23,0,7,34,38,21,23,39,44,8,0,32,75,58,37,4,6,8,9,0,0,25,0,0,1,11,4,15,13,0,6,7,0,5,0,7,6,11,0,11,0,6,16,6,0,20,4,0,7,0,0,0,36,8,1,10,10,3,6,4
77.500,21,0,0,0,5,0,0,0,28,0,1,5,0,15,0,0,5,0,10,14,7,8,24,15,1,34,22,8,33,25,30,9,1,33,7,0,8,11,0,10,5,97,46,42,26,22,8,18,13,4,26,13,4,5,17,24,2,5,0,1,3,0,34,33,0,0,12,11,1,5,0,17,0,13,20,31,9,21,40,38,5,0,26,63,49,20,3,2,16,6,0,0,27,0,0,0,12,2,7,15,0,7,4,0,5,0,4,0,13,0,4,0,13,12,7,1,25,1,0,3,2,0,0,33,7,3,7,6,2,7,8
