Orientation,Slice1,Slice2,Slice3,Slice4,Slice5,Slice6,Slice7,Slice8,Slice9,Slice10,Slice11,Slice12,Slice13,Slice14,Slice15,Slice16,Slice17,Slice18,Slice19,Slice20,Slice21,Slice22,Slice23,Slice24,Slice25,Slice26,Slice27,Slice28,Slice29,Slice30,Slice31,Slice32,Slice33,Slice34,Slice35,Slice36,Slice37,Slice38,Slice39,Slice40,Slice41,Slice42,Slice43,Slice44,Slice45,Slice46,Slice47,Slice48,Slice49,Slice50,Slice51,Slice52,Slice53,Slice54,Slice55,Slice56,Slice57,Slice58,Slice59,Slice60,Slice61,Slice62,Slice63,Slice64,Slice65,Slice66,Slice67,Slice68,Slice69,Slice70,Slice71,Slice72,Slice73,Slice74,Slice75,Slice76,Slice77,Slice78,Slice79,Slice80,Slice81,Slice82,Slice83,Slice84,Slice85,Slice86,Slice87,Slice88,Slice89,Slice90,Slice91,Slice92,Slice93,Slice94,Slice95,Slice96,Slice97,Slice98,Slice99,Slice100,Slice101,Slice102,Slice103,Slice104,Slice105,Slice106,Slice107,Slice108,Slice109,Slice110,Slice111,Slice112,Slice113,Slice114,Slice115,Slice116,Slice117,Slice118
14.500,5,0,5,0,10,3,0,1,9,17,3,24,1,33,18,5,1,0,1,34,8,1,7,3,0,13,1,0,0,0,6,26,4,0,0,0,0,54,4,7,0,5,0,9,3,0,3,0,14,0,1,0,0,0,23,0,3,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,27,0,0,6,14,21,0,8,19,0,26,8,9,0,1,0,0,1,5,0,0,10,5,0,50,36,0,17,15,6,24,7,9,26,0,0
15.500,3,0,3,2,7,6,0,1,8,17,3,19,4,38,30,2,3,0,1,31,5,1,2,0,3,6,2,0,0,0,6,31,4,0,0,3,10,76,6,6,0,4,0,7,3,0,7,0,10,0,3,0,0,21,45,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,34,0,0,10,19,25,2,13,10,0,26,4,7,0,0,0,0,0,0,0,0,6,13,0,47,33,0,21,18,7,33,10,12,39,0,0
16.500,5,0,4,2,14,3,0,4,3,17,5,6,12,11,27,5,1,0,0,26,9,1,5,0,0,13,11,0,0,0,6,28,3,0,0,9,2,64,3,7,3,8,0,5,4,0,9,0,9,0,2,0,0,8,40,0,1,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,30,0,0,6,21,22,2,8,13,0,29,11,6,0,4,0,0,0,3,0,0,3,7,0,34,19,0,26,14,17,25,11,11,37,0,3
17.500,2,0,5,1,21,7,0,2,10,20,4,17,6,8,28,5,1,0,0,30,10,3,5,3,3,12,1,0,2,0,5,24,6,0,0,2,2,59,1,6,2,6,0,10,2,0,11,0,8,0,2,0,0,12,41,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,34,0,0,8,27,27,1,5,12,0,25,6,6,0,5,0,0,0,3,0,0,0,14,0,30,26,0,43,17,6,31,14,13,38,0,2
18.500,6,1,3,0,18,4,0,1,5,20,2,9,2,7,39,3,6,0,0,22,10,4,7,1,0,11,3,0,2,0,5,14,3,0,0,4,12,52,1,11,2,6,0,8,2,0,15,0,4,0,2,0,3,8,23,0,2,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,35,6,0,9,39,24,1,9,20,0,17,9,4,0,0,0,8,1,5,0,0,0,17,0,34,20,0,45,11,4,31,15,15,40,0,5
19.500,1,4,6,0,27,7,0,4,9,26,0,13,2,11,31,4,2,2,0,30,9,1,6,2,4,12,19,0,2,0,5,17,7,1,0,3,4,62,1,3,3,11,0,11,4,0,14,0,8,0,0,0,3,8,15,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,37,8,0,6,33,34,1,7,18,0,15,7,6,0,0,0,11,0,6,0,0,0,13,0,32,27,0,47,16,7,40,23,19,40,0,9
20.500,2,10,4,2,3,6,0,3,5,36,1,16,9,6,13,5,9,4,0,20,11,8,17,2,0,14,12,0,0,1,5,18,9,2,0,9,6,109,5,11,3,6,0,10,3,0,2,0,0,0,2,0,2,8,12,0,2,3,0,0,16,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,35,8,0,11,33,32,1,11,9,0,16,10,6,0,6,0,10,0,7,0,0,0,10,0,18,27,0,39,17,9,8,34,17,50,0,16
21.500,5,8,5,8,2,8,0,1,11,25,2,24,10,9,9,6,6,8,0,28,14,9,16,4,3,19,15,0,0,4,4,15,8,13,0,7,11,24,0,5,3,14,0,15,1,0,5,0,10,0,8,2,4,19,9,0,1,2,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,41,9,0,10,59,49,3,11,22,0,9,8,6,0,3,0,9,0,17,0,0,0,9,0,11,38,0,7,13,15,13,48,23,24,0,25
22.500,2,12,6,11,5,10,0,7,6,22,1,22,5,11,10,0,3,4,0,19,19,11,13,3,1,6,10,5,3,5,4,9,9,21,0,4,8,13,1,11,3,5,0,15,2,0,6,0,0,0,10,1,5,9,8,0,2,2,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,26,7,0,12,69,62,0,3,38,0,11,10,5,0,0,0,10,0,21,0,0,0,6,0,14,17,0,9,17,40,9,48,36,5,0,17
23.500,2,11,3,10,2,11,0,5,11,24,1,34,4,7,7,7,7,3,0,27,13,9,10,15,0,7,14,1,2,13,4,9,10,19,0,4,5,9,1,10,5,18,0,35,5,0,2,0,0,0,7,0,7,6,10,0,1,4,0,0,28,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,37,9,0,10,35,49,2,10,40,0,7,9,11,0,4,0,6,0,12,0,0,0,8,0,5,24,0,8,21,27,16,31,30,11,0,9
24.500,5,17,7,12,3,18,0,5,13,26,1,19,7,12,47,2,6,4,0,27,14,10,16,11,5,2,10,15,1,25,4,6,10,23,0,10,19,10,7,6,3,6,0,78,3,0,6,0,6,0,9,1,5,1,3,0,0,4,0,0,30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,1,0,8,0,0,32,8,0,14,21,46,0,13,23,0,19,13,3,0,3,1,8,0,7,0,0,0,5,0,5,12,0,6,14,28,15,28,28,17,0,8
25.500,0,11,5,13,5,24,1,9,9,26,2,26,14,14,11,7,12,1,0,16,17,20,20,9,0,1,11,14,1,83,5,5,16,20,0,4,6,12,0,13,6,14,0,59,0,0,8,0,0,0,8,2,8,3,12,0,2,2,0,2,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,17,0,0,14,14,0,17,7,48,1,6,12,0,7,13,14,0,2,2,6,0,8,2,0,0,4,0,3,19,0,10,24,21,74,42,32,22,7,8
26.500,3,21,5,9,6,17,3,7,16,27,2,3,13,9,5,2,8,4,0,20,42,30,16,9,4,11,14,28,2,61,0,7,15,20,0,8,17,9,1,8,4,16,0,49,3,0,8,0,0,0,6,1,7,3,3,0,2,1,0,2,19,0,5,0,0,0,0,0,0,0,0,3,0,1,0,0,0,3,0,23,0,0,20,12,0,7,7,61,6,11,2,0,15,8,14,0,1,1,7,0,3,4,0,0,4,0,6,9,0,6,14,26,110,18,31,10,1,7
27.500,5,20,8,9,4,18,2,23,20,44,1,1,11,17,6,7,4,1,0,18,39,39,21,8,2,5,15,48,4,44,10,6,31,23,0,11,14,13,2,15,10,15,0,32,3,0,9,0,0,0,10,0,7,2,1,0,1,2,0,4,18,0,1,0,4,0,0,0,0,0,0,3,0,0,0,0,0,6,0,17,0,0,15,55,0,7,2,65,2,13,2,0,19,12,21,0,5,1,6,0,4,3,0,0,4,0,5,18,0,9,21,24,67,0,43,0,0,17
28.500,0,30,6,12,9,14,2,23,17,87,2,1,9,13,7,4,13,4,0,19,30,6,21,8,4,4,13,70,2,31,0,6,31,18,0,11,15,13,7,13,5,23,0,31,3,0,10,0,0,0,4,4,10,1,11,0,1,3,0,5,11,0,0,0,9,0,0,0,0,0,0,3,0,3,0,0,0,4,0,14,0,0,16,48,0,5,8,60,6,9,6,0,37,15,13,0,2,4,9,0,4,6,0,0,2,0,2,7,0,9,22,29,57,0,25,0,3,12
29.500,1,54,4,12,6,16,4,34,25,72,4,0,17,21,8,6,12,0,0,10,34,18,19,4,10,3,12,41,1,7,0,2,28,24,17,9,16,12,1,12,9,43,0,25,1,0,10,0,0,0,8,1,9,0,3,0,2,3,0,4,12,0,4,0,8,0,0,0,0,0,0,4,0,4,0,0,0,6,0,18,0,0,17,56,0,8,1,48,7,15,2,0,16,16,17,0,5,1,11,0,4,7,0,0,0,0,7,16,2,6,21,30,41,0,16,0,9,11
30.500,4,18,8,20,13,13,6,73,29,42,1,4,20,26,3,6,14,5,0,9,21,7,22,8,18,11,17,34,4,6,8,7,27,19,20,10,20,14,2,13,8,50,0,21,3,0,9,0,0,0,9,0,12,0,3,0,2,3,0,6,12,0,2,0,0,0,0,8,0,0,0,6,0,5,0,0,0,5,0,16,0,0,15,73,0,5,4,40,13,8,2,0,7,20,16,0,9,2,17,0,0,7,0,0,0,0,4,8,7,10,26,29,40,0,21,0,1,11
31.500,3,16,10,32,14,12,11,69,32,54,3,2,24,31,8,8,14,0,0,25,29,14,19,4,16,4,22,35,4,2,2,3,19,27,63,12,22,12,7,14,14,45,0,34,3,0,2,3,0,0,7,4,10,0,8,0,1,1,0,4,8,0,0,0,0,0,0,9,0,0,0,10,0,5,0,0,0,7,0,18,0,0,18,61,0,28,7,41,18,17,4,0,12,21,21,0,9,5,11,0,7,5,0,0,0,0,5,11,12,7,14,31,48,0,16,0,17,3
32.500,0,17,10,24,17,11,13,31,40,53,7,1,28,14,9,8,27,5,0,12,13,18,34,7,26,3,24,39,3,5,3,5,29,17,71,29,23,16,3,16,15,49,0,22,3,0,0,14,0,0,7,1,10,0,4,0,2,2,0,6,7,0,2,0,0,0,0,8,0,10,0,16,0,11,0,0,0,4,0,18,0,0,29,77,0,38,4,42,49,15,3,0,8,20,19,0,8,3,7,0,0,6,0,0,0,0,10,9,11,9,5,29,36,0,21,0,23,11
33.500,5,19,10,23,27,7,12,22,12,57,4,4,55,14,12,11,34,0,0,27,22,12,37,6,44,12,10,41,1,1,4,1,20,32,92,15,22,20,3,17,16,50,0,17,2,0,0,6,0,0,8,4,13,0,3,0,2,5,0,5,8,0,2,0,0,0,0,7,0,15,0,12,0,27,0,0,0,7,0,25,0,2,18,83,0,38,7,39,98,14,2,0,14,14,21,0,8,5,6,0,0,6,0,0,0,0,4,6,10,9,5,24,26,0,18,0,26,4
34.500,6,21,10,13,5,11,18,16,10,58,7,3,45,5,14,17,60,5,0,21,13,19,53,3,39,4,22,43,8,1,2,9,38,24,72,10,31,26,6,23,23,51,0,18,4,0,0,4,0,0,5,1,10,0,7,0,2,1,0,5,4,2,1,0,0,0,0,9,0,15,0,5,0,0,0,0,0,5,0,16,0,3,27,83,0,58,10,4,13,19,2,0,16,13,22,0,11,7,7,0,6,5,0,0,0,0,13,14,13,5,4,26,29,0,28,0,23,10
35.500,5,15,13,21,0,8,20,12,9,53,6,2,11,6,32,11,53,5,0,21,11,25,28,9,44,4,10,46,3,1,5,0,24,35,70,8,27,17,5,33,29,61,0,18,2,0,0,3,0,0,8,3,15,0,5,0,2,3,0,3,5,5,1,0,0,0,0,7,10,13,0,5,0,0,0,0,0,8,43,14,0,2,27,106,0,91,4,0,1,23,5,0,36,17,25,0,8,5,2,0,0,7,0,2,0,0,5,5,21,11,2,25,28,0,27,0,33,2
36.500,5,18,21,17,0,5,38,16,6,82,10,4,18,3,33,11,54,11,0,32,12,25,21,4,53,12,17,60,8,2,2,4,40,25,52,14,37,22,6,22,36,89,0,12,5,0,0,5,0,8,8,4,11,0,3,0,3,2,2,6,5,4,3,0,0,0,0,6,10,15,0,7,0,0,0,0,0,6,59,11,0,4,31,78,0,73,10,0,4,20,2,2,20,11,27,0,8,8,6,0,1,4,0,2,0,0,7,14,32,7,0,29,24,0,36,0,29,13
37.500,20,14,22,20,0,7,57,26,8,146,9,2,15,6,16,5,56,15,0,33,15,55,36,7,43,18,17,69,7,0,5,6,40,45,50,7,35,21,8,15,57,83,0,8,6,0,0,0,6,9,8,3,21,0,7,0,2,3,1,3,3,4,1,0,0,0,0,3,8,13,0,5,0,0,0,0,4,8,35,8,0,5,34,67,0,49,10,0,0,26,7,2,16,7,40,0,13,12,1,0,6,6,0,5,2,0,18,6,0,5,0,26,26,0,11,0,50,0
38.500,38,19,25,22,0,4,74,18,6,155,22,7,0,5,0,8,57,28,0,36,9,41,25,7,35,28,20,73,9,0,8,0,44,34,54,2,48,24,9,8,99,77,0,9,8,0,0,5,7,8,8,5,22,0,5,0,3,5,2,6,1,3,1,0,4,0,0,6,8,11,0,4,0,0,0,0,4,8,31,5,0,5,48,50,0,37,8,0,1,31,20,5,14,14,36,0,12,9,4,0,5,5,2,5,1,0,11,8,0,12,0,26,23,0,15,0,61,12
39.500,12,22,19,21,0,9,55,8,7,101,33,3,9,6,0,6,38,18,0,39,0,22,17,6,31,21,18,46,13,0,8,5,55,46,62,3,54,38,8,10,93,72,0,13,15,0,0,0,9,8,11,12,25,0,6,0,2,7,1,4,0,5,1,0,5,0,0,3,10,11,0,5,0,0,0,0,3,3,24,5,24,6,47,53,0,36,11,0,2,33,13,7,13,4,27,23,20,18,5,0,3,4,8,12,3,0,23,10,0,4,0,11,28,0,16,0,52,3
40.500,11,26,23,19,0,4,51,0,8,110,50,9,20,8,0,8,21,22,0,44,5,21,12,8,30,27,31,30,13,0,7,3,86,38,79,4,75,11,9,7,68,54,0,8,14,0,0,5,10,10,5,17,45,1,7,0,5,16,3,3,0,12,3,0,5,0,0,5,7,9,0,6,0,0,0,0,5,9,16,2,25,7,67,49,0,36,13,0,2,44,8,14,13,8,27,34,36,26,5,0,7,4,36,10,4,0,25,7,0,7,0,17,35,2,28,0,54,11
