Orientation,Slice1,Slice2,Slice3,Slice4,Slice5,Slice6,Slice7,Slice8,Slice9,Slice10,Slice11,Slice12,Slice13,Slice14,Slice15,Slice16,Slice17,Slice18,Slice19,Slice20,Slice21,Slice22,Slice23,Slice24,Slice25,Slice26,Slice27,Slice28,Slice29,Slice30,Slice31,Slice32,Slice33,Slice34,Slice35,Slice36,Slice37,Slice38,Slice39,Slice40,Slice41,Slice42,Slice43,Slice44,Slice45,Slice46,Slice47,Slice48,Slice49,Slice50,Slice51,Slice52,Slice53,Slice54,Slice55,Slice56,Slice57,Slice58,Slice59,Slice60,Slice61,Slice62,Slice63,Slice64,Slice65,Slice66,Slice67,Slice68,Slice69,Slice70,Slice71,Slice72,Slice73,Slice74,Slice75,Slice76,Slice77,Slice78,Slice79,Slice80,Slice81,Slice82,Slice83,Slice84,Slice85,Slice86,Slice87,Slice88,Slice89,Slice90,Slice91,Slice92,Slice93,Slice94,Slice95,Slice96,Slice97,Slice98,Slice99,Slice100,Slice101,Slice102,Slice103,Slice104,Slice105,Slice106,Slice107,Slice108,Slice109,Slice110,Slice111,Slice112,Slice113,Slice114,Slice115,Slice116,Slice117,Slice118,Slice119,Slice120,Slice121,Slice122,Slice123,Slice124,Slice125,Slice126,Slice127,Slice128,Slice129,Slice130,Slice131,Slice132,Slice133,Slice134,Slice135,Slice136
-42.500,26,25,38,74,55,39,29,69,3,10,0,0,53,34,99,0,11,6,0,8,14,88,26,64,24,7,32,0,31,18,12,35,3,13,35,10,21,14,45,32,12,7,9,0,55,0,0,3,0,0,0,60,36,0,16,1,0,0,17,8,3,0,0,15,0,54,2,10,3,61,28,23,6,53,10,32,17,13,0,31,26,15,23,0,10,7,23,102,7,23,44,13,14,58,3,0,45,8,53,22,65,63,32,7,47,63,1,25,8,22,31,0,41,24,33,66,17,29,10,32,24,3,8,19,59,24,25,36,6,26,21,1,59,13,18,16
-41.500,21,30,35,54,46,32,43,22,8,7,0,0,104,60,105,0,11,12,0,11,24,97,36,57,27,7,17,0,21,6,11,30,2,22,39,0,24,15,41,35,0,2,9,0,46,0,0,3,0,0,2,44,37,0,0,5,0,0,17,7,2,0,0,21,0,56,4,13,10,64,3,20,7,36,10,25,19,0,0,19,39,14,23,0,22,16,26,72,6,22,18,16,20,159,4,0,61,9,51,25,55,69,30,10,24,31,3,18,14,29,42,3,35,24,30,56,19,25,6,38,26,3,19,16,51,16,27,88,4,15,25,5,69,17,14,11
-40.500,18,41,38,58,50,20,29,17,7,11,0,0,88,34,61,0,17,12,0,7,30,17,44,44,32,9,10,0,18,2,11,29,10,17,36,0,25,11,40,33,1,6,5,0,49,0,0,6,0,0,0,27,47,0,0,0,0,0,25,7,4,0,0,16,0,55,3,9,16,66,4,13,3,22,6,26,18,0,0,10,26,10,25,0,21,19,21,73,17,31,15,12,15,216,6,0,76,35,61,48,47,63,35,4,20,35,4,16,15,34,33,1,35,29,45,77,19,20,11,50,29,2,39,11,10,15,33,86,7,19,23,2,103,17,24,12
-39.500,18,46,30,69,49,30,27,17,6,4,0,0,12,18,48,0,32,9,0,10,44,2,35,35,55,5,7,0,20,4,9,31,17,19,39,0,38,15,34,35,1,3,11,0,51,0,0,4,0,0,3,36,60,0,0,1,0,0,22,8,0,0,0,21,0,64,6,8,8,53,2,0,10,21,6,19,19,0,0,4,23,11,25,0,22,33,22,65,9,27,9,24,21,96,8,0,92,43,65,67,58,74,32,6,17,43,6,14,8,49,33,4,29,24,58,68,25,27,10,106,25,4,9,10,4,15,31,64,7,11,21,5,34,14,22,11
-38.500,14,66,32,54,105,20,32,12,2,5,0,0,3,17,38,0,42,16,0,12,58,0,42,30,70,0,4,0,12,7,8,29,17,16,47,0,27,8,37,39,0,5,7,0,51,0,0,7,0,0,1,15,64,0,0,2,0,0,32,8,2,0,0,18,0,57,2,9,0,48,4,0,5,25,8,23,24,0,0,3,29,6,19,0,17,120,25,55,7,33,9,13,26,55,7,0,61,41,56,58,64,77,31,4,12,63,6,0,18,40,33,2,27,30,87,58,27,21,5,131,40,1,8,5,11,13,29,69,9,15,21,5,21,14,17,4
-37.500,11,97,33,80,102,19,45,13,10,2,0,0,1,36,30,0,26,11,0,12,9,6,37,28,44,0,3,0,24,3,7,25,15,20,46,0,36,9,25,41,1,2,7,0,48,0,0,2,0,0,5,9,16,0,0,4,0,0,43,10,2,0,0,21,0,60,5,7,0,41,6,0,8,21,5,24,24,0,0,0,9,8,36,0,24,130,18,47,8,35,5,23,26,25,4,0,53,44,61,50,56,79,37,6,10,89,29,10,16,28,28,9,24,26,57,47,29,19,0,66,45,9,4,9,5,12,33,43,8,14,20,5,18,15,19,8
-36.500,12,50,28,63,68,30,45,14,8,6,0,0,0,30,32,0,30,16,0,11,8,3,14,25,26,0,3,0,10,2,3,23,13,15,39,0,20,11,31,66,1,2,5,0,57,0,3,0,0,0,2,7,10,0,0,2,0,0,40,9,0,0,0,28,0,58,5,3,0,42,7,0,9,17,8,20,15,0,0,0,4,5,26,0,17,64,25,48,12,44,4,21,33,16,2,0,51,41,63,51,40,43,32,1,8,60,53,1,29,23,97,4,26,32,47,49,58,26,16,34,30,30,6,3,6,12,24,40,7,8,19,9,15,14,21,0
-35.500,5,66,27,52,64,21,40,10,5,4,0,0,0,20,29,0,17,35,0,15,12,13,12,23,18,0,6,0,20,7,5,28,11,21,37,0,25,13,27,53,4,4,8,0,79,0,0,0,0,0,4,7,15,0,0,0,0,0,18,10,0,0,0,33,0,88,6,7,0,32,14,0,9,12,7,21,11,0,0,0,7,4,45,0,25,54,18,45,17,55,3,18,33,23,4,0,55,49,60,57,49,56,27,8,10,45,38,9,102,17,32,8,21,34,38,44,69,27,5,25,20,21,11,6,5,10,37,33,10,9,24,10,16,15,22,9
-34.500,3,50,29,61,59,35,48,11,6,1,0,0,0,18,17,8,18,26,0,18,14,14,13,16,16,3,3,1,33,2,5,26,16,14,38,0,26,11,19,33,3,1,6,0,112,0,2,0,0,0,3,5,11,0,0,2,0,0,20,12,0,0,0,22,0,100,4,3,0,26,0,0,7,13,5,19,11,0,0,0,6,4,25,0,28,53,24,25,17,63,2,19,31,17,0,0,35,62,67,63,48,45,37,3,11,34,20,1,18,17,33,7,22,39,32,45,34,27,6,19,15,14,10,2,9,4,34,49,5,12,22,19,9,15,32,0
-33.500,5,38,25,53,87,34,50,8,6,2,0,0,0,18,23,21,23,36,0,49,13,17,6,22,16,21,37,4,45,2,3,32,14,12,39,0,32,17,27,23,4,2,10,0,73,0,2,0,0,0,5,3,14,0,0,1,0,0,7,17,0,0,9,20,0,37,4,2,0,24,0,0,12,7,8,25,6,0,0,0,5,3,34,0,37,48,18,38,7,40,1,8,33,25,1,0,22,44,73,74,56,40,30,3,9,14,21,8,4,16,35,12,25,49,25,40,32,30,6,8,17,12,11,4,2,0,36,24,7,11,26,25,10,35,32,0
