Orientation,Slice1,Slice2,Slice3,Slice4,Slice5,Slice6,Slice7,Slice8,Slice9,Slice10,Slice11,Slice12,Slice13,Slice14,Slice15,Slice16,Slice17,Slice18,Slice19,Slice20,Slice21,Slice22,Slice23,Slice24,Slice25,Slice26,Slice27,Slice28,Slice29,Slice30,Slice31,Slice32,Slice33,Slice34,Slice35,Slice36,Slice37,Slice38,Slice39,Slice40,Slice41,Slice42,Slice43,Slice44,Slice45,Slice46,Slice47,Slice48,Slice49,Slice50,Slice51,Slice52,Slice53,Slice54,Slice55,Slice56,Slice57,Slice58,Slice59,Slice60,Slice61,Slice62,Slice63,Slice64,Slice65,Slice66,Slice67,Slice68,Slice69,Slice70,Slice71,Slice72,Slice73,Slice74,Slice75,Slice76,Slice77,Slice78,Slice79,Slice80,Slice81,Slice82,Slice83,Slice84,Slice85,Slice86,Slice87,Slice88,Slice89,Slice90,Slice91,Slice92,Slice93,Slice94,Slice95,Slice96,Slice97,Slice98,Slice99,Slice100,Slice101,Slice102,Slice103,Slice104,Slice105,Slice106,Slice107,Slice108,Slice109,Slice110,Slice111,Slice112,Slice113,Slice114,Slice115,Slice116,Slice117,Slice118,Slice119,Slice120,Slice121,Slice122,Slice123,Slice124,Slice125,Slice126,Slice127,Slice128,Slice129,Slice130,Slice131,Slice132,Slice133,Slice134,Slice135,Slice136,Slice137,Slice138,Slice139,Slice140,Slice141,Slice142,Slice143,Slice144
-21.500,31,19,2,38,4,1,4,5,3,19,0,0,36,11,19,39,0,10,19,34,4,0,14,12,45,29,8,2,3,8,26,30,0,27,0,7,2,3,0,6,164,6,43,27,17,0,4,0,0,11,0,0,0,0,10,0,4,0,8,0,0,0,5,0,0,0,1,2,2,0,97,0,4,3,0,4,0,0,2,0,0,6,6,3,11,0,2,15,2,24,8,19,1,3,1,4,9,11,11,18,0,0,7,11,3,0,6,0,20,0,0,37,12,0,4,3,9,9,2,15,17,37,34,1,124,0,0,0,0,2,33,28,5,19,4,0,6,8,9,10,0,0,12,27
-20.500,25,21,5,35,3,1,5,10,6,18,2,0,32,12,23,27,0,10,13,42,9,0,9,44,35,22,5,4,1,10,19,13,0,28,0,6,0,1,0,3,55,11,34,29,12,0,7,0,4,18,0,0,0,2,0,0,8,0,9,0,0,0,4,0,0,0,2,0,1,0,22,0,7,3,13,2,0,0,1,0,0,6,5,0,3,0,7,14,5,24,11,22,1,8,0,5,11,9,9,13,0,0,10,5,0,0,7,0,15,0,0,31,17,0,6,6,3,7,3,10,11,27,28,5,83,0,0,0,0,2,60,21,6,18,2,0,8,8,4,10,0,0,13,29
-19.500,23,16,2,26,2,1,4,3,4,27,1,0,44,20,13,12,0,16,20,37,9,0,7,43,48,21,2,5,1,8,21,1,0,20,0,5,3,2,0,2,36,6,27,41,16,0,33,0,0,13,0,0,0,0,0,0,36,0,6,0,0,0,4,0,0,0,1,0,2,0,22,0,2,3,9,2,0,0,1,0,0,4,9,1,6,0,2,7,9,21,7,13,3,2,0,4,15,10,7,16,0,0,15,9,0,0,4,0,13,0,0,25,12,0,5,3,1,14,1,5,12,13,28,4,33,0,0,0,0,1,9,31,5,14,2,0,6,7,15,11,0,0,14,35
-18.500,22,18,0,20,8,2,4,8,2,13,1,0,37,9,10,10,0,11,18,38,9,0,5,40,40,35,2,3,0,12,22,17,0,21,0,5,2,2,0,7,30,10,22,30,12,0,31,0,0,8,0,0,0,0,0,0,50,0,5,0,0,0,4,0,0,0,1,0,0,0,17,0,10,5,8,4,0,0,1,0,0,3,6,2,15,0,2,5,7,22,8,17,3,7,0,7,20,11,4,19,0,0,27,7,0,0,7,0,11,1,0,28,17,0,2,4,12,8,3,11,9,11,35,2,28,0,0,0,0,0,9,17,7,18,1,0,7,11,6,10,0,0,25,23
-17.500,17,21,3,16,2,2,3,3,6,9,1,0,31,10,10,8,0,6,24,28,12,0,5,21,26,15,3,4,1,17,21,9,0,19,0,2,0,1,0,2,24,9,22,25,17,0,19,0,3,10,0,0,0,0,1,0,20,0,6,0,0,0,3,0,0,0,2,0,0,0,13,0,3,0,5,2,1,0,0,0,0,6,4,0,4,0,3,6,8,16,11,15,1,3,0,6,23,12,7,14,0,0,15,4,0,0,7,0,6,1,0,28,10,0,0,3,3,13,0,9,13,10,26,8,32,0,0,0,0,0,11,21,3,14,3,0,8,4,4,12,0,0,34,36
-16.500,19,16,0,8,0,2,4,6,1,7,3,0,36,16,15,7,0,8,21,32,17,0,4,16,19,16,2,4,2,13,20,9,0,21,0,5,0,1,0,0,26,10,19,26,15,0,19,0,0,4,0,0,0,0,3,0,9,0,2,0,0,0,5,0,0,0,0,4,0,0,12,0,4,0,3,3,2,0,0,0,0,5,5,2,15,0,2,4,18,19,7,11,1,4,0,4,23,19,3,14,0,0,13,4,0,0,2,0,10,6,0,22,2,0,0,3,8,15,3,3,5,8,37,1,56,0,0,0,0,0,10,20,4,18,0,0,7,9,17,15,0,0,17,35
-15.500,27,21,3,12,9,3,3,5,2,3,1,8,24,14,25,4,0,3,27,36,59,0,3,13,23,21,0,3,1,11,22,10,0,9,0,20,0,2,0,4,28,15,13,25,14,0,9,0,0,6,0,0,0,0,2,0,8,0,8,0,0,0,2,0,0,0,2,9,0,0,14,0,4,0,5,1,3,0,0,0,0,4,6,1,11,0,2,0,15,16,10,13,3,4,0,7,19,30,5,12,0,0,9,7,0,0,7,0,8,5,0,23,4,0,0,5,13,33,0,11,10,7,46,7,37,0,0,0,0,0,11,28,3,16,4,0,6,9,6,18,0,0,13,32
-14.500,21,21,1,1,53,2,3,5,3,3,0,14,20,17,30,5,0,2,24,27,71,0,4,12,22,10,0,2,1,14,20,13,0,17,0,25,0,0,0,5,2,15,12,20,15,0,12,0,0,8,0,0,0,0,1,1,4,0,3,0,0,0,4,0,0,0,1,8,0,0,10,0,1,0,1,4,4,0,0,0,0,4,6,1,20,0,2,3,19,19,9,11,20,2,0,9,15,24,4,10,0,0,13,2,0,0,7,0,6,10,0,22,3,0,0,2,13,23,3,7,5,6,36,5,25,0,0,0,0,0,13,22,5,10,0,0,8,6,13,15,0,0,8,17
-13.500,14,24,3,14,20,5,4,8,1,3,2,15,23,13,26,4,0,4,21,28,33,0,1,9,14,18,0,2,0,9,22,8,0,12,0,19,1,0,0,3,4,11,9,22,18,0,8,0,0,2,0,0,0,0,0,4,3,0,5,0,0,0,4,0,0,0,0,10,0,0,9,0,5,0,5,4,6,0,0,0,0,1,3,2,21,0,4,3,19,15,7,11,8,4,0,9,14,10,4,4,0,0,9,8,0,0,4,0,10,10,0,24,8,0,0,5,12,18,0,2,8,2,33,6,20,0,0,0,0,0,10,25,3,19,1,0,4,10,7,17,0,7,6,16
-12.500,13,23,0,3,12,5,6,2,3,1,2,18,25,16,22,2,0,4,16,29,21,0,3,11,20,13,0,12,0,14,22,8,0,14,20,15,0,0,0,2,1,15,4,5,17,0,11,0,0,4,0,0,0,0,0,7,1,0,4,0,0,0,4,0,0,0,2,12,0,0,6,0,3,2,2,4,5,0,0,0,0,8,7,0,17,0,1,4,24,24,8,8,5,3,0,7,11,13,2,11,0,0,8,1,0,0,5,0,8,6,0,22,6,0,3,2,25,27,2,4,3,7,35,10,19,0,0,1,0,0,15,23,2,15,3,0,3,7,15,22,0,1,7,20
-11.500,14,17,3,4,7,7,5,5,1,0,1,15,25,8,22,2,0,4,15,31,17,0,2,6,15,15,0,26,3,7,31,7,0,7,21,12,0,0,0,4,2,13,2,5,14,0,7,0,0,5,0,0,0,0,0,8,3,0,4,0,0,0,3,0,0,0,1,10,0,0,9,0,4,0,4,2,8,0,0,0,0,6,4,1,24,0,2,5,35,14,7,9,6,1,0,9,10,7,4,4,0,0,7,5,0,0,6,0,11,2,0,21,6,0,0,4,41,25,0,11,6,0,18,10,12,0,0,0,0,0,10,17,1,18,0,0,0,10,13,25,0,0,4,19
-10.500,24,12,2,7,8,15,4,6,2,0,1,16,16,6,30,3,0,4,21,28,12,0,2,7,17,13,0,47,1,13,58,2,0,5,28,12,5,2,0,1,4,21,4,8,18,0,9,0,38,4,0,0,0,0,2,12,0,0,3,0,0,0,5,0,0,0,0,16,0,0,8,0,0,0,1,7,6,0,0,0,0,0,5,1,6,0,1,2,31,12,10,7,4,5,0,3,9,4,0,6,0,0,10,4,0,0,9,0,11,0,2,16,9,0,0,3,30,23,1,4,6,0,0,12,5,0,0,1,0,0,14,22,2,18,0,0,0,11,19,21,0,0,5,16
-9.500,20,10,3,3,7,31,7,2,3,0,3,15,19,10,32,2,0,2,11,25,12,0,0,6,20,14,0,35,0,9,24,1,0,7,30,12,16,8,0,0,0,23,3,6,21,0,2,0,26,2,0,0,0,0,2,17,0,0,6,0,0,0,3,0,0,0,1,15,0,0,4,0,0,0,4,5,11,0,0,0,0,3,7,0,12,0,4,2,16,11,5,4,3,2,0,9,4,0,3,3,0,0,7,1,1,0,3,0,11,0,2,8,5,4,0,4,24,21,1,0,3,0,0,22,6,0,0,3,0,0,9,21,4,12,3,0,0,9,24,14,0,0,6,20
-8.500,18,13,37,7,8,18,10,9,1,0,1,18,16,10,23,1,0,0,18,18,9,0,0,2,13,13,0,23,1,10,23,0,0,3,30,6,6,7,0,6,1,21,4,7,19,0,7,0,16,3,0,0,0,0,1,30,0,0,3,0,0,0,3,0,1,0,2,12,0,0,5,0,5,0,3,4,14,0,0,0,0,8,3,2,9,0,1,4,3,10,8,0,3,1,0,1,0,0,3,4,0,0,9,6,3,0,10,0,11,0,3,9,6,0,0,1,20,26,0,6,3,7,0,12,5,0,0,0,0,0,17,24,1,20,0,0,4,9,29,11,0,0,4,18
-7.500,21,13,27,5,10,14,9,1,2,0,2,18,16,9,26,3,0,1,18,25,6,0,0,2,17,14,0,22,0,9,13,5,0,3,24,12,5,3,0,7,3,21,3,5,33,0,6,0,19,3,0,0,0,0,0,19,0,0,1,0,0,0,5,0,1,0,0,11,0,0,4,0,1,0,2,6,24,0,0,0,0,3,5,0,11,0,1,0,2,6,6,0,4,4,0,9,0,0,2,2,0,0,14,3,1,0,9,0,12,0,6,4,8,6,0,6,18,14,2,7,3,0,0,6,3,0,0,3,0,0,12,17,2,17,0,0,0,13,18,8,0,0,3,23
-6.500,9,10,24,5,6,6,10,4,3,0,2,13,11,4,10,0,0,4,19,24,8,0,0,0,13,11,0,22,4,8,14,4,0,3,28,6,0,4,0,1,4,24,2,9,29,0,4,0,14,5,0,0,0,0,0,15,0,0,6,0,0,0,4,0,3,0,0,12,0,0,7,0,1,0,3,4,21,0,0,0,0,4,4,0,8,0,3,3,3,5,4,0,3,2,0,3,0,0,3,5,0,0,9,3,3,0,15,0,15,0,3,5,8,0,0,2,10,16,1,0,1,0,0,4,6,0,0,2,0,0,16,17,2,17,3,0,0,7,13,9,0,0,5,25
-5.500,22,14,25,9,11,14,11,5,1,0,3,21,13,5,10,1,0,2,23,16,4,0,0,2,21,17,0,26,9,8,13,1,0,1,24,9,5,2,0,0,0,23,4,4,22,0,3,0,10,1,0,0,0,0,0,11,0,0,3,0,0,0,4,0,5,0,3,11,0,0,3,0,3,0,3,6,18,0,0,0,0,5,5,1,6,0,7,2,4,7,8,0,5,4,0,8,0,0,3,3,0,0,15,4,2,0,14,0,18,0,4,5,10,6,2,3,6,16,2,0,3,0,0,5,4,0,0,6,0,0,12,20,4,19,0,0,1,11,12,5,0,0,2,39
-4.500,7,11,34,7,9,8,10,0,4,0,1,12,14,11,5,1,0,4,20,18,5,0,0,11,16,12,3,21,1,11,14,0,0,2,35,9,3,1,0,0,0,24,2,9,17,0,8,0,8,3,0,0,0,1,0,10,0,0,2,0,0,0,4,0,3,0,0,14,0,0,5,0,2,0,3,5,23,0,0,0,0,1,7,0,9,0,13,2,48,3,4,0,4,3,0,5,0,0,1,0,0,0,17,3,1,0,14,0,20,0,1,4,8,1,2,4,5,19,1,10,2,0,0,2,5,0,0,3,0,0,13,17,2,21,0,0,3,10,7,12,0,0,4,26
-3.500,15,10,43,12,14,8,10,8,3,0,5,19,14,9,7,2,0,1,13,25,6,0,0,0,16,18,6,24,7,8,16,0,0,2,37,11,6,5,0,0,2,24,3,8,3,0,2,2,16,3,0,0,0,0,0,8,0,0,1,2,0,0,4,0,6,0,0,20,0,0,1,0,1,0,2,5,23,0,0,1,0,11,4,0,8,0,63,1,47,11,9,0,2,4,0,6,0,0,4,2,0,0,0,3,4,0,15,0,10,0,2,0,12,6,0,2,1,14,3,1,1,2,0,5,4,0,0,2,0,0,15,15,1,19,2,0,1,9,11,1,0,0,2,11
-2.500,9,12,36,11,17,8,7,0,5,0,3,16,12,5,7,0,0,1,14,20,2,0,0,2,17,17,5,16,10,6,14,8,0,1,54,10,2,2,0,12,6,23,4,5,10,0,14,0,7,3,0,0,0,0,0,8,0,0,6,0,0,0,4,0,6,0,3,28,0,0,4,0,5,0,4,6,7,0,0,7,0,24,9,0,9,8,61,4,74,3,2,0,4,3,0,5,0,0,2,1,0,0,0,2,1,0,14,0,5,0,1,0,9,2,0,4,3,14,1,0,2,2,0,1,2,0,0,9,0,0,8,17,2,17,0,0,0,11,2,8,0,0,3,9
-1.500,17,7,30,32,26,4,7,7,1,0,21,9,4,6,7,0,0,2,17,16,5,0,0,1,19,16,4,19,4,10,26,1,20,3,38,6,3,2,0,2,0,17,2,6,3,0,11,32,13,1,0,0,0,0,0,6,0,0,3,0,0,0,4,0,8,0,0,17,0,0,5,0,4,0,4,5,7,0,0,7,0,25,7,0,7,15,28,1,45,3,8,0,3,4,0,7,0,0,5,0,0,0,0,4,3,0,15,0,3,0,2,0,10,6,0,3,2,14,4,3,3,0,0,1,5,0,1,7,0,0,6,10,5,10,0,0,3,13,5,5,0,0,3,8
-0.500,6,12,25,45,18,7,11,1,5,0,33,23,6,4,7,0,0,0,19,18,2,0,0,0,18,14,9,7,9,8,13,1,10,1,33,12,6,3,0,1,0,15,3,10,4,0,8,94,11,2,0,0,0,0,0,8,0,0,1,2,0,0,3,0,12,0,0,11,0,0,1,0,3,0,1,6,4,0,0,6,0,19,4,0,11,15,27,2,33,5,5,0,2,5,0,7,0,0,0,3,0,0,0,3,1,0,12,0,4,0,0,0,14,1,0,3,1,20,3,2,1,0,0,0,3,0,2,23,0,0,11,15,2,5,2,0,8,11,4,5,0,0,2,6
0.500,15,8,21,26,20,6,3,7,5,0,26,11,3,4,7,0,0,3,12,21,2,0,0,0,19,9,17,11,10,12,9,0,6,2,31,6,1,2,0,0,3,11,3,5,5,0,11,39,5,4,0,0,0,0,0,5,0,0,3,1,0,0,3,0,13,0,0,7,0,0,4,0,5,0,6,7,4,0,0,6,0,7,5,0,8,17,13,4,29,3,5,0,4,6,0,5,0,0,7,2,0,0,0,2,3,0,20,0,6,0,1,0,11,6,2,5,1,10,6,2,1,0,0,0,2,0,2,23,0,0,7,13,2,9,0,0,9,11,2,6,2,0,2,5
