Orientation,Slice1,Slice2,Slice3,Slice4,Slice5,Slice6,Slice7,Slice8,Slice9,Slice10,Slice11,Slice12,Slice13,Slice14,Slice15,Slice16,Slice17,Slice18,Slice19,Slice20,Slice21,Slice22,Slice23,Slice24,Slice25,Slice26,Slice27,Slice28,Slice29,Slice30,Slice31,Slice32,Slice33,Slice34,Slice35,Slice36,Slice37,Slice38,Slice39,Slice40,Slice41,Slice42,Slice43,Slice44,Slice45,Slice46,Slice47,Slice48,Slice49,Slice50,Slice51,Slice52,Slice53,Slice54,Slice55,Slice56,Slice57,Slice58,Slice59,Slice60,Slice61,Slice62,Slice63,Slice64,Slice65,Slice66,Slice67,Slice68,Slice69,Slice70,Slice71,Slice72,Slice73,Slice74,Slice75,Slice76,Slice77,Slice78,Slice79,Slice80,Slice81,Slice82,Slice83,Slice84,Slice85,Slice86,Slice87,Slice88,Slice89,Slice90,Slice91,Slice92,Slice93,Slice94,Slice95,Slice96,Slice97,Slice98,Slice99,Slice100,Slice101,Slice102,Slice103,Slice104,Slice105,Slice106,Slice107,Slice108,Slice109,Slice110,Slice111
73.500,10,41,73,43,90,41,0,36,22,8,44,3,16,86,14,93,69,89,20,21,22,14,45,13,22,16,43,12,78,65,5,24,30,21,8,54,0,27,0,16,0,60,0,11,0,0,0,4,3,0,4,28,6,0,12,39,0,22,4,1,8,0,0,0,2,41,19,7,0,0,3,9,5,0,1,5,1,17,0,0,0,2,0,0,0,1,10,17,0,14,13,11,0,0,0,19,7,4,44,8,34,0,1,0,19,0,0,47,11,10,8
74.500,8,28,89,32,100,26,0,45,28,16,42,2,15,93,9,83,68,91,19,21,18,18,47,13,36,23,47,21,83,55,5,25,37,21,5,49,0,29,0,16,2,34,0,6,0,0,0,0,3,0,4,19,5,0,12,46,3,18,3,0,15,0,0,0,5,11,16,11,0,0,3,6,2,0,1,7,2,20,0,0,0,3,0,9,0,1,10,19,0,18,14,14,0,0,0,17,16,4,30,11,59,0,8,0,12,0,0,50,7,7,8
75.500,12,28,96,39,107,42,0,50,26,16,49,3,15,109,26,58,94,86,24,22,23,20,93,13,28,25,63,14,105,56,5,23,36,24,17,44,0,32,0,13,5,31,0,7,0,0,0,6,7,0,3,21,5,1,7,51,0,17,6,1,8,0,0,0,0,7,12,7,0,5,4,7,6,0,0,3,2,31,0,0,0,2,0,6,0,1,4,12,0,19,14,6,0,5,0,11,4,3,34,14,80,0,2,0,10,0,0,73,7,9,11
76.500,8,35,85,34,81,33,0,46,31,17,49,2,18,120,21,68,118,106,26,26,23,13,82,11,30,27,62,21,142,47,9,30,33,25,33,42,0,24,0,13,5,23,0,5,0,0,0,1,2,20,7,23,3,25,9,62,0,17,14,0,4,0,0,0,2,0,11,5,0,11,3,10,3,0,0,6,2,25,0,0,0,2,0,4,0,1,0,15,0,14,13,12,0,5,0,8,6,5,31,8,80,0,5,0,2,0,0,27,10,8,4
77.500,12,35,84,43,85,40,2,62,35,15,58,3,33,109,20,75,91,99,28,18,26,12,77,17,36,25,69,17,159,71,6,27,37,28,31,31,0,22,0,11,3,25,0,3,0,0,0,2,5,19,5,16,2,18,5,50,0,18,39,0,8,0,0,0,3,0,10,8,0,6,4,4,1,0,0,6,1,21,0,0,0,1,0,5,0,2,0,11,0,13,17,7,0,0,0,8,9,2,30,14,28,0,3,0,7,0,0,23,9,5,13
78.500,13,30,84,36,71,38,16,86,43,22,51,99,33,115,21,90,85,115,54,25,27,31,85,21,41,22,50,25,123,80,9,26,37,26,23,34,0,32,0,13,5,22,0,4,7,2,0,5,5,12,4,19,4,30,5,32,0,15,25,0,6,0,0,0,2,0,5,9,0,4,3,7,2,0,0,4,3,21,0,4,0,3,0,3,0,3,0,7,0,2,14,9,0,4,0,7,9,5,43,7,9,0,1,0,4,0,0,23,8,9,12
79.500,12,42,88,35,72,47,114,92,41,21,62,65,75,117,25,130,101,100,70,47,32,22,98,19,64,26,67,24,119,85,13,31,32,35,30,25,0,27,0,10,4,19,0,2,25,5,1,1,3,14,9,20,4,53,5,17,0,16,18,0,0,0,0,0,4,0,5,4,0,4,3,6,2,0,0,5,3,19,0,4,0,2,0,2,0,2,0,10,0,10,13,7,0,0,0,3,8,4,62,10,8,0,5,0,8,0,0,18,10,7,6
80.500,6,38,111,57,69,49,181,66,46,21,95,55,69,140,25,161,102,100,92,61,42,15,194,27,87,21,58,30,91,98,26,30,34,40,34,30,0,24,8,14,4,15,0,4,22,7,4,2,4,18,7,19,1,37,5,20,0,12,15,0,0,0,0,0,0,0,5,5,0,3,4,7,1,0,0,3,2,11,0,5,0,1,0,4,0,2,0,5,0,8,9,3,0,0,0,8,5,4,64,13,9,0,2,0,3,0,0,13,9,7,10
81.500,89,41,115,79,77,41,241,58,45,59,62,53,64,150,24,193,121,99,117,73,38,26,161,30,39,31,66,28,109,137,31,69,42,56,47,23,0,23,10,10,5,20,0,1,24,10,3,3,5,10,6,14,2,42,4,16,0,16,11,0,0,0,0,0,2,0,6,6,0,3,3,5,1,0,0,7,2,6,0,5,0,1,0,2,0,2,0,7,0,4,13,0,0,0,0,4,6,5,42,9,9,0,1,0,4,0,0,12,15,5,12
82.500,78,52,206,130,66,55,229,57,50,62,59,55,57,130,26,210,129,78,141,80,33,27,136,31,30,28,50,30,87,105,54,77,31,75,73,31,0,20,9,13,6,60,0,3,25,30,4,2,5,14,13,14,1,45,2,13,0,14,10,0,0,0,0,0,1,0,4,5,0,1,3,4,2,0,0,4,3,5,0,5,0,1,0,3,0,2,0,4,0,5,11,0,0,0,0,4,10,5,33,7,12,0,3,0,6,0,0,8,20,10,8
83.500,158,58,117,123,72,55,193,63,54,78,75,49,59,119,29,273,167,79,129,113,32,25,116,35,37,26,67,45,78,136,85,61,44,90,88,23,0,22,8,11,16,28,0,3,29,23,5,1,2,7,14,11,2,42,3,13,0,10,13,0,0,0,0,0,2,0,5,2,0,0,0,7,2,0,0,6,2,3,0,6,0,2,0,3,0,18,0,2,0,7,8,0,0,0,0,6,19,4,24,11,5,0,3,0,3,0,0,8,21,9,12
84.500,176,89,56,105,74,62,190,83,67,87,68,50,57,119,25,196,97,65,145,163,41,26,118,48,30,31,64,52,65,203,100,65,40,82,71,19,17,22,10,15,11,22,0,3,34,5,5,5,6,16,7,12,4,41,4,8,0,12,8,0,0,0,0,0,3,0,4,6,0,0,8,5,2,0,0,3,4,2,0,5,0,2,0,2,0,12,0,1,0,3,12,0,0,0,0,4,16,5,28,7,10,0,2,0,4,0,0,6,37,5,11
85.500,128,120,70,91,79,67,176,102,64,142,73,56,57,126,26,89,107,57,198,119,34,37,105,53,30,35,66,48,61,196,97,89,53,96,77,27,21,25,9,14,17,19,0,1,40,14,6,4,4,8,10,11,2,53,2,12,0,13,10,0,0,0,0,0,1,0,4,4,0,0,0,2,0,0,0,7,1,7,0,3,0,0,0,3,0,10,0,0,0,6,8,0,0,0,0,4,13,3,28,9,7,0,0,0,6,0,0,4,19,10,9
86.500,107,98,61,98,87,84,192,115,80,148,80,51,62,98,33,73,97,65,209,105,32,34,113,68,41,35,52,84,58,208,95,75,58,99,124,14,42,34,10,16,14,15,0,3,73,7,6,3,4,6,8,5,0,78,1,7,0,16,8,0,0,0,5,0,1,0,3,5,0,0,6,9,1,0,0,2,5,4,0,8,0,1,0,2,0,10,0,0,0,3,16,0,0,0,0,5,21,5,19,8,12,0,6,0,5,0,0,6,15,10,13
87.500,94,116,58,91,73,127,172,141,87,127,69,58,52,89,31,54,87,50,286,100,61,35,78,81,40,39,90,94,69,128,113,87,72,135,108,24,34,32,10,14,20,14,0,1,76,8,9,6,4,17,8,15,3,96,4,8,0,9,9,0,0,0,8,0,1,0,1,5,0,0,4,1,1,0,0,2,0,5,0,5,0,0,0,3,0,10,0,4,0,3,12,0,0,0,0,5,16,8,9,9,7,0,3,0,3,0,0,6,9,10,11
88.500,103,137,39,93,135,147,136,133,79,141,71,55,65,70,36,48,85,52,214,87,85,38,119,79,60,71,81,135,68,118,112,81,58,154,116,26,37,26,12,19,14,22,6,7,89,9,7,8,6,5,6,9,1,61,0,5,0,10,7,0,0,0,10,0,1,0,0,3,0,0,3,8,2,0,0,3,5,6,0,8,0,1,0,1,0,13,0,1,0,3,14,0,0,0,0,3,15,2,13,7,10,0,4,0,7,0,0,6,6,20,14
89.500,90,160,36,86,142,138,142,146,143,178,91,61,80,68,34,46,96,72,137,107,141,55,92,127,59,65,102,141,64,87,88,96,55,139,120,16,41,23,13,15,24,9,8,10,86,11,7,6,14,9,6,8,4,62,0,8,0,14,10,0,0,0,15,0,3,0,0,5,0,0,4,3,2,0,0,2,0,3,0,10,0,2,0,5,0,13,0,2,0,5,19,0,0,0,0,5,18,7,12,4,9,0,8,0,4,0,0,7,3,13,12
